DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,8c8dbd41-d09e-46ee-8ff1-437d1b3b81b6,Gender,12.4,,f59bac33-30ce-472a-83d0-b5c79b371135,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,43cf6a71-c725-44c2-93f8-f41089f738c4,Glossary,12.5,,f59bac33-30ce-472a-83d0-b5c79b371135,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,c2f99bfd-a828-47bc-a4ed-3f3170ba690d,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,c12ed43b-a41b-441c-a833-724697cb7d0b,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,f345d746-18e5-4020-b7da-9e57cf1125a9,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally. IPSC Mini Rifle matches are exempt from minimum power considerations (also see Rule 5.6.1).,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,98c60cb3-3486-4506-b041-7051e18b71ca,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,0de5f0ec-78be-4d9f-8516-d51e17c3336d,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,4e422e64-7835-4ab5-a32d-5600c4e4ffd4,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,2c11a269-6800-4acb-81d5-9d605269a80b,,1.2.1,General Courses of Fire:,03d79fa2-6eea-4c48-869c-a5d5554c055c,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,cbc6f4d6-306d-4a93-9f8f-4732701b6afd,,1.2.2,Special Courses of Fire:,03d79fa2-6eea-4c48-869c-a5d5554c055c,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,3951550d-c7dd-4d1e-a10d-2a218b3bba4f,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,094582ad-f883-43da-a362-a0d495843d80,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,8967743c-3f04-45a0-b596-b062c8aef340,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,094582ad-f883-43da-a362-a0d495843d80,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
