DISCIPLINE,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367,Action Air
CHAPTER,a4ce27e1-b12c-489b-a590-84c51e8c7aba,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,989f9409-4539-4d9e-99e2-f9add35195f2,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner and~ for handgun matches~ to shoot targets on an "as and when visible" basis. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,3e9144f3-cf9c-4650-8477-7bb9c54e0853,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,8192b281-1193-4159-b440-30c0c8f1b01c,,1.2.1,General Courses of Fire:,ff554ec9-904b-49f1-8783-41377f993011,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,b2bcaca8-2e91-4efa-b383-9a71537d72e1,,1.2.2,Special Courses of Fire:,ff554ec9-904b-49f1-8783-41377f993011,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,b3ad367a-ce18-419a-a9c7-99c8218613a9,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,3f19196f-c46f-46e2-8e72-da286ef9f9f5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,26d9ef0e-0eca-40b6-9315-038c3688a889,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,3f19196f-c46f-46e2-8e72-da286ef9f9f5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,e0a994a7-b005-4d35-b4f2-d5fdac9a0935,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,3f19196f-c46f-46e2-8e72-da286ef9f9f5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,7d259f06-3de1-4fde-b794-40278ddd1f41,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,3f19196f-c46f-46e2-8e72-da286ef9f9f5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,61f5cb2d-554c-44a5-b7ba-3f26efa98a7d,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,24bcec1b-2ab9-43b2-8e84-45cf548f31c8,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,7e34c15c-9082-4674-916a-6d2180467ef5,Minimum Distances,2.1.3,Whenever rigid targets or rigid hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a safe minimum distance from them while they are being shot. Where possible~ this should be done with physical barriers. Care should also be taken in respect of props in the line of fire.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,5f546074-8c91-421d-9352-736f8ec0ec4b,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,e60371d6-d54d-4cc6-bcb4-f5dbc410af80,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,e457be20-08da-4af5-af9b-3499513b7298,Obstacles,2.1.6,Natural or created obstacles in a course of fire should reasonably allow for variations in competitors' height and physical build and should be constructed to provide reasonable safety for all competitors~ Match Officials and spectators.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,7b87d2f0-7bfe-439a-b98c-239e2f8ef856,Common Firing Lines,2.1.7,Courses of fire where multiple competitors are required to fire simultaneously from a common firing line (e.g. Shoot-Off)~ must provide a minimum of 3 meters of free space between each competitor.,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,03668e1c-f1f3-432f-bfd2-45dd5835ac1f,Target Placement,2.1.8,Care must be taken with the physical placement of a paper target to prevent a "shoot through".,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,ef31f399-ab4f-4cf6-8c2f-d213196d5219,Berms,2.1.9,All berms are "off limits" to all persons at all times~ except when access to them is specifically permitted by a Range Officer (see Section 10.6).,f5d66064-bc36-481b-b809-1cef06d2a5ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,409a03fd-09b0-4276-934c-00e2f35ce217,Fault Lines,2.2.1,Competitor movement should preferably be restricted through the use of physical barriers. However~ the use of Fault Lines is permitted as follows:,41835b07-43eb-48a5-a7e2-54da59a6c5e5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
